接続キー,種牡馬名,正規名,繁殖登録番号,ID確定区分,接続方法,完成区分,現代出走馬での役割,父出現数,母父出現数,母母父出現数,合計出現数,該当出走馬数,父_父祖先名,父_父M,父_母父祖先名,父_母父M,父_母母父祖先名,父_母母父M,母父_父祖先名,母父_父M,母父_母父祖先名,母父_母父M,母父_母母父祖先名,母父_母母父M,母母父_父祖先名,母母父_父M,母母父_母父祖先名,母母父_母父M,母母父_母母父祖先名,母母父_母母父M,9枝シグネチャ,監査注記
ID:1140007204,Masar,Masar,1140007204,確定,繁殖登録番号,A_v9.3直接完成,父,4,0,0,4,4,Galileo,地,Ahonoora,バ,Match,極,Green Desert,地,Ahonoora,バ,Balidar,地,Sharpen Up,地,Nebbiolo,極,Be Friendly,極,地-バ-極 | 地-バ-地 | 地-極-極,
ID:1140001141,Master Derby,Master Derby,1140001141,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Bold Commander,極,Windy City,極,Challedon,極,Eight Thirty,極,Bull Dog,極,Pot au Feu,極,Fighting Fox,極,War Admiral,極,Bull Dog,極,極・極・極｜極・極・極｜極・極・極,
ID:1140002162,Master Willie,Master Willie,1140002162,確定,繁殖登録番号,Y_v9.26残件祖先固定8代欠損0運用確定で完成,母母父,0,0,4,4,,High Hat,地,Chanteur,極,Djebel,極,Denturius,バ,Pappageno,極,Singapore,極,Hyperion,地,Donatello,極,Friar Marcus,極,地・極・極｜バ・極・極｜地・極・極,
ID:1140003899,Masterclass,Masterclass,1140003899,確定,繁殖登録番号,C_v9.4高影響祖先補完で完成,母母父,0,0,4,4,4,Northern Dancer,地,Victoria Park,極,Bull Page,極,Sir Gaylord,極,Mr. Trouble,極,Pharamond,極,Alibhai,地,Discovery,極,Broomstick,バ,地・極・極｜極・極・極｜地・極・バ,
ID:1140006646,Medaaly,Medaaly,1140006646,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Kenmare,極,Riverman,極,Sir Gaylord,極,Northern Dancer,地,Bold Reason,極,Forli,地,Endeavour,極,Hyperion,地,Winalot,極,極・極・極｜地・極・地｜極・地・極,
ID:1140007098,Mensageiro Alado,Mensageiro Alado,1140007098,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Lyphard,バ,Habitat,極,Tanerko,極,Atan,地,Rockefella,地,Majano,極,Nasrullah,極,Discovery,極,Pompey,極,バ・極・極｜地・地・極｜極・極・極,
ID:1140003905,Mighty Appealing,Mighty Appealing,1140003905,確定,繁殖登録番号,Y_v9.26残件祖先固定8代欠損0運用確定で完成,母母父,0,0,4,4,,In Reality,極,Moslem Chief,地,Alsab,バ,Sicambre,極,Cranach,極,Hyperion,地,Challenger,極,Scotch Broom,バ,Escoba,バ,極・地・バ｜極・極・地｜極・バ・バ,
ID:1140007399,Mitole,Mitole,1140007399,確定,繁殖登録番号,A_v9.3直接完成,父,4,0,0,4,4,Giant's Causeway,地,Seattle Slew,極,Alydar,バ,In Excess,地,Leo Castelli,地,Diplomat Way,極,Two Punch,極,Magesterial,地,King Emperor,極,地-極-バ | 地-地-極 | 極-地-極,
ID:1140006770,Mogok,Mogok,1140006770,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Storm Bird,地,Secretariat,極,Crimson Satan,極,Hail to Reason,極,Cosmic Bomb,極,Mahmoud,極,Tom Rolfe,極,War Admiral,極,Tourbillon,極,地・極・極｜極・極・極｜極・極・極,
ID:1140004104,Monteverdi,Monteverdi,1140004104,確定,繁殖登録番号,S_v9.20高影響祖先反映で完成,母母父,0,0,4,4,,Northern Dancer,地,Court Martial,極,Formor,極,Tantieme,極,Relic,極,Le Volcan,極,Gainsborough,極,Chaucer,極,Minoru,バ,地・極・極｜極・極・極｜極・極・バ,
ID:1140006924,Morning Line,Morning Line,1140006924,確定,繁殖登録番号,A_v9.3直接完成,母父,0,4,0,4,4,Cee's Tizzy,バ,Seattle Song,極,ナイスダンサー,地,Seattle Slew,極,Secretariat,極,Buckpasser,極,Storm Bird,地,Secretariat,極,Crimson Satan,極,バ-極-地 | 極-極-極 | 地-極-極,
ID:1140000962,Naskra,Naskra,1140000962,確定,繁殖登録番号,X_v9.25_TARGET固定8代安全確定反映,母母父,0,0,4,4,,Nasrullah,極,Coaraze,極,Gris Perle,極,Vieux Manoir,極,Teleferique,極,Biribi,極,Pharos,極,Alcantara,バ,Sardanapale,極,極・極・極｜極・極・極｜極・バ・極,
ID:1140001098,Never Tabled,Never Tabled,1140001098,確定,繁殖登録番号,Z_v9.27_TARGET系譜不足枝0扱いで完成,母母父,0,0,4,4,,Nasrullah,極,Djeddah,極,Bimelech,極,Princequillo,極,Sir Cosmo,極,Friar Marcus,極,,バ,,バ,,バ,極・極・極｜極・極・極｜バ・バ・バ,
ID:1140006556,Nineeleven,Nineeleven,1140006556,確定,繁殖登録番号,Z_v9.27_TARGET系譜不足枝0扱いで完成,母母父,0,0,4,4,,Clever Trick,地,Finnegan,極,Mr. Busher,極,Buckpasser,極,Amerigo,バ,Count Rendered,極,Khaled,地,,バ,,バ,地・極・極｜極・バ・極｜地・バ・バ,
ID:1140006123,Norquestor,Norquestor,1140006123,確定,繁殖登録番号,B_TARGET再構成＋v9.3既存Mで完成,母母父,0,0,4,4,4,Mr. Prospector,極,Bold Commander,極,Turn-to,極,Nearctic,地,Native Dancer,極,Mahmoud,極,Dan Cupid,極,Sicambre,極,Maurepas,極,極・極・極｜地・極・極｜極・極・極,
