検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
競馬場×芝馬場状態×クッション値階層,新潟×良×やや高,母母父ブロック,地極極,630,0.08095238095238096,0.07240515431287105,1.1180472125309802,0.8835323838059143,0.19365079365079366,0.21528402448987283,0.8995130693494777,-1.5652977135735593,76.01587301587301,中立,やや弱
競馬場×芝馬場状態×クッション値階層,札幌×良×低,母母父ブロック,地極極,976,0.08811475409836066,0.08618336427586745,1.0224102393625636,0.2334118655473526,0.26741803278688525,0.24956826085503608,1.0715226041592578,1.5587278713121004,83.25819672131148,中立,やや強
競馬場×芝馬場状態×クッション値階層,京都×良×高,父ブロック,地地地,1584,0.07512626262626262,0.07887914789226294,0.9524223401712428,-0.5960987637812435,0.22032828282828282,0.23374867570486446,0.9425862292647746,-1.5264193379765292,78.3207070707071,中立,やや弱
競馬場×芝馬場状態×クッション値階層,東京×良×標準,父ブロック,地極地,508,0.03346456692913386,0.0467358778748819,0.7160359118260903,-1.5134690254957226,0.17125984251968504,0.159725347676333,1.0722145546161246,0.8533393899835883,37.63779527559054,やや弱,中立
競馬場×芝馬場状態×クッション値階層,小倉×良×やや高,母父ブロック,極極極,577,0.04852686308492201,0.06291558206688701,0.7713011862996353,-1.5118641122280854,0.2045060658578856,0.19537965407136154,1.046711167700147,0.6487055987220361,73.74350086655116,やや弱,中立
競馬場×芝馬場状態×クッション値階層,阪神×良×標準,父ブロック,地地地,806,0.09181141439205956,0.09135093699377574,1.0050407517803042,0.04909058055731685,0.2518610421836228,0.27104185229365757,0.9292330319184305,-1.5035423107701398,66.93548387096774,中立,やや弱
芝馬場状態×クッション値階層,稍重×やや低,母父ブロック,地極極,714,0.05182072829131653,0.06805060226416886,0.7615028606234988,-1.8441028726825512,0.16106442577030813,0.20748482947573443,0.7762708540054721,-3.632967121782099,43.55742296918768,やや弱,弱
芝馬場状態×クッション値階層,良×やや高,母父ブロック,極極地,5765,0.08204683434518648,0.0731763441275604,1.1212207349708958,2.78521411631943,0.2294882914137034,0.2207233959792197,1.039709861275009,1.9435394664187737,73.55941023417175,強,中立
芝馬場状態×クッション値階層,重×低,母父ブロック,極極極,1126,0.05328596802841918,0.07262388515428098,0.7337251086914361,-2.6692033434256484,0.19982238010657194,0.2200249900988374,0.9081803844954601,-1.93869751438595,30.66607460035522,弱,やや弱
芝馬場状態×クッション値階層,良×低,父ブロック,地地極,591,0.0727580372250423,0.07660535582968946,0.9497774200905665,-0.37813995281077273,0.19627749576988154,0.23320966810509522,0.8416353291212167,-2.540263646524885,55.83756345177665,中立,弱
芝馬場状態×クッション値階層,良×高,母父ブロック,極極バ,534,0.11235955056179775,0.08644653914330201,1.299757649933676,2.349970596561008,0.26217228464419473,0.243773970772823,1.0754728399141409,1.2343413233379668,67.82771535580524,強,中立
芝馬場状態×クッション値階層,良×やや高,父ブロック,極地地,531,0.1111111111111111,0.08573132776552131,1.2960386128044645,2.246038964210523,0.2768361581920904,0.25753652399789895,1.0749394062426225,1.231118159086438,112.5612052730697,強,中立
芝馬場状態×クッション値階層,良×低,母父ブロック,バ極極,774,0.060723514211886306,0.07593253164018032,0.7997035381308684,-1.6938676602551215,0.2041343669250646,0.23269942403843036,0.8772448310458721,-2.188401358411175,43.888888888888886,やや弱,弱
