検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
ダート含水率階層,高,母母父ブロック,地極地,708,0.07909604519774012,0.07617697352233187,1.038319606836999,0.31532267633977473,0.19915254237288135,0.22571800214432913,0.8823068629038227,-2.0283425799594252,67.04802259887008,中立,弱
ダート含水率階層,やや低,父ブロック,極極極,1063,0.06114769520225776,0.06592355316852572,0.9275546032226291,-0.6795794010879888,0.2154280338664158,0.1958610330858324,1.0999024689715007,1.9414698581391323,63.23612417685794,中立,やや強
ダート含水率階層,高,父ブロック,極極極,1066,0.08348968105065666,0.07268315050269358,1.1486799963020673,1.4700850272649024,0.23452157598499063,0.2143806976952315,1.093949121848609,1.9340873262360407,82.73921200750472,中立,やや強
ダート含水率階層,やや低,母父ブロック,バ極極,1738,0.07882623705408516,0.07733541551934502,1.0192773456343196,0.2509138656295735,0.24338319907940162,0.22742511762667827,1.0701685091746056,1.919387476175088,82.53739930955122,中立,やや強
ダート含水率階層,やや高,父ブロック,地地地,6346,0.06350456980775292,0.0691142337078277,0.9188348969650886,-1.9006808736014718,0.2012291207059565,0.2093570511736643,0.9611767054314996,-1.9127191201486988,61.582098959974786,やや弱,中立
ダート含水率階層,やや高,父ブロック,地極地,1150,0.05652173913043478,0.06038728718873004,0.9359873867787079,-0.5860110224667731,0.17217391304347826,0.1907349717888311,0.902686651685972,-1.896865844010457,70.64347826086959,中立,やや弱
ダート含水率階層,標準,父ブロック,地極極,2905,0.07607573149741824,0.07005763481296327,1.0859020819147238,1.3608294530025407,0.2244406196213425,0.21240679727325082,1.0566546009947637,1.8842670986092949,86.53012048192768,中立,やや強
ダート含水率階層,標準,母母父ブロック,地バ極,920,0.09021739130434783,0.07508737241639618,1.2014988459583895,1.8766842926078169,0.23695652173913043,0.223553049239631,1.0599565630846395,1.1686502331187945,134.86956521739137,やや強,中立
ダート含水率階層,低,母父ブロック,バ極極,2027,0.08238776517020227,0.07245352459741831,1.1371119021190852,1.8589045444112364,0.2284163788850518,0.21584112312182635,1.058261630505544,1.6563379109703646,66.88209176122349,やや強,やや強
ダート含水率階層,低,父ブロック,地地バ,1279,0.06724003127443315,0.062062516953545956,1.0834241757349703,0.829225391125777,0.20562939796716184,0.18857362696579663,1.0904462160260553,1.855906827704187,72.04065676309617,中立,やや強
ダート含水率階層,標準,母父ブロック,地バ極,1065,0.07699530516431925,0.07782588635259118,0.9893277002396225,-0.11001424314757842,0.2084507042253521,0.22805319513031216,0.9140442172109935,-1.8540967222985323,60.00000000000001,中立,やや弱
ダート含水率階層,低,父ブロック,極極地,2324,0.06540447504302926,0.06781013384669123,0.9645236092720181,-0.4953731969881434,0.1906196213425129,0.20352898169001482,0.9365723729352533,-1.8518549837846539,70.24956970740102,中立,やや弱
ダート含水率階層,高,父ブロック,地地極,2471,0.07284500202347227,0.0680480164223691,1.0704941283126994,1.025421480105198,0.2161068393363011,0.20368602525318552,1.060980197672748,1.84863608052725,80.17401861594492,中立,やや強
ダート含水率階層,低,母父ブロック,地極地,909,0.066006600660066,0.07586472649127897,0.8700565297319539,-1.2108823663770245,0.20462046204620463,0.2253622418156621,0.907962489180315,-1.8056304401544152,57.77777777777779,中立,やや弱
ダート含水率階層,やや高,母父ブロック,極地地,1589,0.08118313404657017,0.07700634857455002,1.0542394951758634,0.6788974218980741,0.2422907488986784,0.22676669531606877,1.068458260861332,1.800383536848759,58.95531780994335,中立,やや強
ダート含水率階層,標準,母父ブロック,バ極極,1902,0.06466876971608833,0.07458107144832891,0.8670935997599872,-1.7849985116541591,0.21556256572029442,0.21989983088917425,0.9802761777881234,-0.5528407246128733,79.38485804416405,やや弱,中立
ダート含水率階層,やや高,父ブロック,地バ地,580,0.05517241379310345,0.05774298263656161,0.9554825759584069,-0.28480485861354415,0.20172413793103447,0.17865922591266128,1.1291000333206898,1.7471191868142346,40.465517241379324,中立,やや強
ダート含水率階層,低,父ブロック,地ババ,564,0.0425531914893617,0.05875020559285154,0.7243071076935838,-1.7434720744709482,0.19326241134751773,0.18372006870578744,1.051939576927829,0.6892697743506574,39.02482269503547,やや弱,中立
ダート含水率階層,標準,父ブロック,極地バ,818,0.05745721271393643,0.0711727146946016,0.8072926958102179,-1.6513168653283634,0.19437652811735942,0.2149390561217445,0.9043332171667388,-1.7206465165733107,44.05867970660145,やや弱,やや弱
ダート含水率階層,高,母母父ブロック,極地極,960,0.0625,0.06415570839843218,0.9741923448471712,-0.2247901881816856,0.21354166666666666,0.19602794876771315,1.089342963638857,1.626557729379811,101.03124999999997,中立,やや強
ダート含水率階層,やや低,父ブロック,地極極,2661,0.06839534009770763,0.0706642931608438,0.967891095181952,-0.48931662766537976,0.22510334460729048,0.21425338445069977,1.0506407877028767,1.6193937740621722,56.82450206689218,中立,やや強
ダート含水率階層,やや高,母父ブロック,地地極,1064,0.06296992481203008,0.07502048314767179,0.8393697583642435,-1.6093091708484748,0.212406015037594,0.2249063618199326,0.9444197723835541,-1.182151050365564,55.103383458646626,やや弱,中立
ダート含水率階層,低,父ブロック,極地極,910,0.051648351648351645,0.05414185459242421,0.9539450031247828,-0.35305443114389967,0.15494505494505495,0.17183279411750807,0.9017199291952128,-1.5955897801393553,86.57142857142858,中立,やや弱
ダート含水率階層,高,母父ブロック,地地極,1027,0.07108081791626096,0.07777167193421101,0.9139679802227987,-0.8566361835364167,0.21616358325219084,0.23383043632552458,0.9244458790268901,-1.590335426715886,55.28724440116842,中立,やや弱
ダート含水率階層,標準,母父ブロック,極地地,1662,0.0812274368231047,0.07187360092888755,1.1301428587593925,1.588279101452465,0.22743682310469315,0.21666303209428847,1.0497260234303196,1.278833253546676,96.93742478941034,やや強,中立
ダート含水率階層,やや高,母母父ブロック,極極バ,616,0.09577922077922078,0.08169374692907505,1.1724180170408205,1.3878999550607305,0.262987012987013,0.24073786098221628,1.0924206600242257,1.5882345493927406,61.818181818181806,中立,やや強
