ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
母母父ブロック,プラス,C,中山×1200×ダ,極地極,419,0.07159904534606205,0.058014896543200835,1.2341493239196897,1.274008614264525,0.2052505966587112,0.18031052961499036,1.138317307907499,1.555547513919621,157.7326968973747,中立,やや強,1.555547513919621
母母父ブロック,プラス,C,京都×1900×ダ,地極極,337,0.10089020771513353,0.08002460037573565,1.2607399129946115,1.5265718385939604,0.24629080118694363,0.23892236110856288,1.0308403116568592,0.38274903547997985,82.07715133531158,やや強,中立,1.5265718385939604
母母父ブロック,プラス,B,京都×1800×ダ,極極極,2961,0.08037825059101655,0.07368820961996435,1.0907884857775085,1.518503857947824,0.22492401215805471,0.22254208181638785,1.010703280576085,0.38054059688747477,91.40493076663287,やや強,中立,1.518503857947824
母母父ブロック,マイナス,A,中山×1600×芝,地極極,1184,0.05574324324324324,0.07216843744715855,0.7724047411177252,-2.344698246905839,0.19003378378378377,0.2181623810967069,0.8710657759989597,-2.8186443865879784,47.922297297297284,弱,弱,2.8186443865879784
母母父ブロック,マイナス,C,中山×1800×ダ,地地極,317,0.05362776025236593,0.07260216449155087,0.7386523615092344,-1.4383208825803435,0.167192429022082,0.21375141424734403,0.7821816272458159,-2.465589616504311,56.52996845425867,中立,弱,2.465589616504311
母母父ブロック,マイナス,C,新潟×1000×芝,地極極,486,0.03292181069958848,0.05489359931481704,0.5997386054206528,-2.225514450138638,0.16049382716049382,0.16871990680948307,0.9512441667107008,-0.5495550110547236,24.87654320987654,弱,中立,2.225514450138638
母母父ブロック,マイナス,B,京都×1200×ダ,地極極,782,0.061381074168797956,0.07033913930586239,0.8726446580742022,-1.058832548275851,0.18286445012787725,0.20945491595272,0.8730492158472661,-2.203733125088289,55.434782608695656,中立,弱,2.203733125088289
母母父ブロック,マイナス,B,小倉×1200×芝,極極地,574,0.05226480836236934,0.06087510650802895,0.858557978136367,-0.9196558141091398,0.15853658536585366,0.18695256286687215,0.8480043436406199,-2.042210403337945,60.00000000000001,中立,弱,2.042210403337945
母母父ブロック,マイナス,C,新潟×1200×ダ,極極地,431,0.058004640371229696,0.07793725362830689,0.7442479388337383,-1.6821066025410991,0.20185614849187936,0.22355351074925411,0.9029433168611192,-1.3362678904986807,56.61252900232019,やや弱,中立,1.6821066025410991
母母父ブロック,マイナス,B,東京×1600×ダ,バ極極,552,0.05434782608695652,0.07014936074489234,0.7747444240382996,-1.5866977676936629,0.19746376811594202,0.20864237616053574,0.9464221590536692,-0.788382760329264,47.73550724637681,やや弱,中立,1.5866977676936629
母母父ブロック,混合,A,中山×1200×ダ,極極地,1048,0.04389312977099236,0.06430298919739474,0.6825985901876349,-2.9115293426010393,0.19751908396946566,0.19517748620888953,1.0119972738970007,0.23006864972730232,31.57442748091603,弱,中立,2.9115293426010393
母母父ブロック,混合,C,東京×1400×ダ,極地極,357,0.0392156862745098,0.06064840364598332,0.6466070649347919,-1.8197570049500065,0.19327731092436976,0.1851145653994908,1.0440956415680371,0.4784510513909627,21.456582633053223,やや弱,中立,1.8197570049500065
母母父ブロック,混合,B,阪神×1800×ダ,極極地,681,0.05286343612334802,0.06918659485025079,0.7640705000407516,-1.8192062476547752,0.2276064610866373,0.21431356456515105,1.0620254557776496,1.0349187967150189,42.56975036710719,やや弱,中立,1.8192062476547752
母母父ブロック,混合,B,福島×1700×ダ,極極極,2477,0.07710940654016955,0.06986973812740412,1.103616653028873,1.5102392802997382,0.20508679854662898,0.20859569480257958,0.9831784818988162,-0.5073266596693905,123.6899475171578,やや強,中立,1.5102392802997382
母父ブロック,プラス,C,新潟×1800×ダ,極地地,389,0.08997429305912596,0.07608938811716154,1.1824814903306176,1.1118732556197972,0.27249357326478146,0.2247738675937731,1.2123009502032094,2.6889202768771328,127.45501285347045,中立,強,2.6889202768771328
母父ブロック,プラス,C,阪神×1200×ダ,地地地,344,0.09011627906976744,0.06125800620955124,1.4710938968777059,2.3779370831663473,0.23837209302325582,0.1910161619729967,1.2479158337238168,2.6663984941675656,107.15116279069773,強,強,2.6663984941675656
母父ブロック,プラス,C,新潟×1800×ダ,バ極極,426,0.107981220657277,0.07701091137450829,1.4021548210507262,2.578501475936328,0.24413145539906103,0.2263564375162001,1.0785266727021572,1.0511084462384537,92.62910798122064,強,中立,2.578501475936328
母父ブロック,プラス,B,東京×1400×ダ,極極極,2221,0.06393516434038721,0.06000248338791365,1.0655419697722999,0.8337985406624188,0.20036019810895994,0.18322430037017565,1.0935241542970224,2.4637216026185182,73.35884736605132,中立,やや強,2.4637216026185182
