血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2020106962,ソッケルカーカ,リアルインパクト,マンハッタンカフェ,Vettori,地,バ,極,極,極,地,極,極,極,地・バ・極｜極・極・地｜極・極・極
2020104565,ニホンピロアレイ,ノヴェリスト,マンハッタンカフェ,アフリート,極,地,地,極,極,地,極,極,極,極・地・地｜極・極・地｜極・極・極
2020100771,ジョータルマエ,ホッコータルマエ,クロフネ,サンデーサイレンス,地,地,地,地,極,極,極,極,極,地・地・地｜地・極・極｜極・極・極
2020109115,カシノアルバ,ファインニードル,シンボリクリスエス,キャプテンスティーヴ,地,地,地,極,極,バ,バ,地,極,地・地・地｜極・極・バ｜バ・地・極
2020103913,カガカーニバル,マツリダゴッホ,Jump Start,Lord Carson,極,極,地,極,極,極,極,極,極,極・極・地｜極・極・極｜極・極・極
2020100158,コーラフロート,ロードカナロア,Monsun,Night Shift,地,地,地,極,極,極,地,極,極,地・地・地｜極・極・極｜地・極・極
2020100652,ヒラリーステップ,ホッコータルマエ,アグネスタキオン,Deputy Minister,地,地,地,極,極,地,地,極,極,地・地・地｜極・極・地｜地・極・極
2020110067,カウピリ,Frosted,Sunday Silence,Sadler's Wells,地,極,バ,極,極,極,地,極,極,地・極・バ｜極・極・極｜地・極・極
2020110148,シティオブハンター,City of Light,War Chant,Tejano,地,地,バ,地,バ,極,極,極,極,地・地・バ｜地・バ・極｜極・極・極
2020103919,スノーベル,スノードラゴン,Silver Hawk,Gulch,極,地,極,極,極,極,極,極,極,極・地・極｜極・極・極｜極・極・極
