level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,中山,芝,1800.0,短縮400m+,116,116,116,0.0561128526645768,-0.2626614399867212,0.016614420062695923,0.01103235747303544,-0.12910477558669348,0.0024499229583975343
COURSE,中山,芝,2000.0,同距離,1323,1323,1323,0.0038731361529826536,-0.08152907405790977,0.0012685293696437366,0.0014204183313641166,-0.07474910947928941,0.0003489115085319467
COURSE,中山,芝,2000.0,延長200-399,1181,1181,1181,0.008000593891181892,-0.07714738386824405,-0.005186023474167606,0.00290505807393876,-0.07003156060599249,-0.0014123044710972964
COURSE,中山,芝,2000.0,延長400m+,427,427,427,0.01630142258595292,-0.10911291082358854,-0.04138168189883451,0.00509009685133594,-0.08517589199574462,-0.009691030075394335
COURSE,中山,芝,2000.0,短縮200-399,157,157,157,-0.014710376516062315,-0.10769788249687673,-0.021527567129819458,-0.0033350600910061856,-0.061041760115558286,-0.0036604635805577487
COURSE,中山,芝,2000.0,短縮400m+,139,139,139,-0.0009175890899522504,-0.13384220110728617,0.00028428275333133857,-0.00019698051506310862,-0.07183037047842772,4.577062090315374e-05
COURSE,中山,芝,2200.0,同距離,228,228,228,0.008369578872670355,0.011395179545390488,0.022495153114060543,0.0021934068769756793,0.007465807288359285,0.004421461129315348
COURSE,中山,芝,2200.0,延長200-399,525,525,525,-0.0107782908015151,0.018335302860900793,-0.006001087487443213,-0.0035092109586328233,0.014924083723989017,-0.0014653818283291565
COURSE,中山,芝,2200.0,延長400m+,309,309,309,-0.0016798164603223226,-0.00885448432802971,-0.029838350548007243,-0.000483975092064893,-0.006377705495014407,-0.006447587635898069
COURSE,中山,芝,2200.0,短縮200-399,219,219,219,-0.019988988779336372,-0.03051055210783893,-0.009888889183464089,-0.005165296215545328,-0.01971035667143577,-0.0019165192311315356
COURSE,中山,芝,2200.0,短縮400m+,49,49,49,-0.03853339284233143,-0.05278227677168479,0.003250613192828891,-0.004468961536743764,-0.015303737052145293,0.0002827456445833414
COURSE,中山,芝,2500.0,同距離,88,88,88,-0.007270898115968538,0.024015161961086107,0.04652917505030181,-0.0012304596811639065,0.010160260829690276,0.005905626064076768
COURSE,中山,芝,2500.0,延長1-199,173,173,173,-0.00030820762726647966,-0.004241919531019045,0.014014724183249783,-7.279169899945527e-05,-0.0025046146036392315,0.002482471621538102
COURSE,中山,芝,2500.0,延長200-399,136,136,136,-0.0019233045330808302,0.0030337573733980605,-0.019647295537933485,-0.0004087022132796764,0.0016116836046177196,-0.003131287726358149
COURSE,中山,芝,2500.0,延長400m+,193,193,193,0.028174226707394626,-0.014237100705331018,0.014793423754965021,0.006949042497798291,-0.008778787335875038,0.0027365470779951266
COURSE,中山,芝,2500.0,短縮1-199,128,128,128,-0.020765216297786715,-0.00016671479536445322,-0.02378332494969819,-0.004287012396962418,-8.60463459945565e-05,-0.003682579347050042
COURSE,中山,芝,2500.0,短縮400m+,59,59,59,0.009293046414077688,0.023717316295366775,-0.010674214780206664,0.0012252284657666673,0.007817439449310836,-0.0010554949810595415
COURSE,中山,芝,3600.0,延長400m+,84,84,84,-0.010243632336655595,-0.0077851504346519995,0.0016611295681063093,-0.0016871865025079803,-0.0032056501789743527,0.00020519835841313229
COURSE,京都,ダ,1200.0,同距離,1680,1680,1680,0.0,0.0009228266292009568,0.0051424504528058,0.0,0.000861304853920893,0.001439886126785624
