年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260922,中山,10,5,ディー･2勝,芝,1600,デイトナチャンプ,牡,横山武史,加藤征弘,美,インディチャンプ,-2146826259,中山芝1600,-2146826259,46287,デイトナチャンプ46284,デイトナチャンプ46281,デイトナチャンプ46282,デイトナチャンプ46277,デイトナチャンプ46278,デイトナチャンプ46270,デイトナチャンプ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,113,差,5,2.02609E+17,23107204
20260922,中山,10,6,ディー･2勝,芝,1600,セブンマイスター,牡,佐々木大,千葉直人,美,ドレフォン,-2146826259,中山芝1600,-2146826259,46287,セブンマイスター46284,セブンマイスター46281,セブンマイスター46282,セブンマイスター46277,セブンマイスター46278,セブンマイスター46270,セブンマイスター46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,107,差,6,2.02609E+17,21105688
20260922,中山,10,7,ディー･2勝,芝,1600,アロンソア,牡,川又賢治,牧田和弥,栗,インディチャンプ,-2146826259,中山芝1600,-2146826259,46287,アロンソア46284,アロンソア46281,アロンソア46282,アロンソア46277,アロンソア46278,アロンソア46270,アロンソア46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,98,追,6,2.02609E+17,23103958
20260922,中山,10,8,ディー･2勝,芝,1600,ロゼル,牡,丸山元気,大和田成,美,シルバーステート,-2146826259,中山芝1600,-2146826259,46287,ロゼル46284,ロゼル46281,ロゼル46282,ロゼル46277,ロゼル46278,ロゼル46270,ロゼル46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,95,先,7,2.02609E+17,20106415
20260922,中山,10,9,ディー･2勝,芝,1600,アルデトップガン,牡,丹内祐次,田中剛,美,ナダル,-2146826259,中山芝1600,-2146826259,46287,アルデトップガン46284,アルデトップガン46281,アルデトップガン46282,アルデトップガン46277,アルデトップガン46278,アルデトップガン46270,アルデトップガン46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,110,差,7,2.02609E+17,23105106
20260922,中山,11,1,JRAアＨ･3勝,ダ,1800,マーシヴィガラス,牡,佐々木大,的場均,美,ネロ,-2146826259,中山ダ1800,-2146826259,46287,マーシヴィガラス46284,マーシヴィガラス46281,マーシヴィガラス46282,マーシヴィガラス46277,マーシヴィガラス46278,マーシヴィガラス46270,マーシヴィガラス46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,94,先,1,2.02609E+17,20104099
20260922,中山,11,10,JRAアＨ･3勝,ダ,1800,ブルータス,牡,石橋脩,高柳瑞樹,美,リオンディーズ,-2146826259,中山ダ1800,-2146826259,46287,ブルータス46284,ブルータス46281,ブルータス46282,ブルータス46277,ブルータス46278,ブルータス46270,ブルータス46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,105,差,5,2.02609E+17,22103703
20260922,中山,11,11,JRAアＨ･3勝,ダ,1800,ダカラフェスティヴ,牝,長浜鴻緒,奥平雅士,美,ミッキーグローリー,-2146826259,中山ダ1800,-2146826259,46287,ダカラフェスティヴ46284,ダカラフェスティヴ46281,ダカラフェスティヴ46282,ダカラフェスティヴ46277,ダカラフェスティヴ46278,ダカラフェスティヴ46270,ダカラフェスティヴ46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,100,追,6,2.02609E+17,22104378
20260922,中山,11,12,JRAアＨ･3勝,ダ,1800,リフレックス,牡,三浦皇成,金成貴史,美,モーニン,-2146826259,中山ダ1800,-2146826259,46287,リフレックス46284,リフレックス46281,リフレックス46282,リフレックス46277,リフレックス46278,リフレックス46270,リフレックス46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,120,先,6,2.02609E+17,23105748
20260922,中山,11,13,JRAアＨ･3勝,ダ,1800,ハッスルダンク,セ,江田照男,中川公成,美,ダンカーク,-2146826259,中山ダ1800,-2146826259,46287,ハッスルダンク46284,ハッスルダンク46281,ハッスルダンク46282,ハッスルダンク46277,ハッスルダンク46278,ハッスルダンク46270,ハッスルダンク46271,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,-2146826259,なし,-2146826259,なし,89,追,7,2.02609E+17,20104632
